t ; D ; C ; I ; CP
1996 ; 3.80510 ; 4.7703 ; 4.8786 ; 808.23 
1997 ; 3.94580 ; 4.7784 ; 5.0510 ; 798.03 
1998 ; 4.05790 ; 4.9348 ; 5.3620 ; 806.12 
1999 ; 4.19130 ; 5.0998 ; 5.5585 ; 865.65 
2000 ; 4.35850 ; 5.2907 ; 5.8425 ; 997.30 
2001 ; 4.54530 ; 5.4335 ; 6.1523 ; 1140.70 
2002 ; 4.81490 ; 5.6194 ; 6.5206 ; 1253.40 
2003 ; 5.12860 ; 5.8318 ; 6.9151 ; 1324.80 
2004 ; 5.61510 ; 6.1258 ; 7.4230 ; 1420.50 
2005 ; 6.22490 ; 6.4386 ; 7.8024 ; 1532.10 
2006 ; 6.78640 ; 6.7394 ; 8.4297 ; 1717.50 
2007 ; 7.49440 ; 6.9104 ; 8.7241 ; 1867.20 
2008 ; 8.39930 ; 7.0993 ; 8.8819 ; 1974.10 
2009 ; 9.39510 ; 7.2953 ; 9.1636 ; 2078.00 
2010 ; 10.68000 ; 7.5614 ; 9.7272 ; 2191.30 
2011 ; 12.07100 ; 7.8036 ; 10.3010 ; 2284.90 
2012 ; 13.44821 ; 8.0441 ; 10.9830 ; 2387.50 
